Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,0,0,0,0,0,0,
15000,0.015,359,318,190,192,202,197,
20000,0.02,319,278,172,164,155,158,
25000,0.025,313,277,173,163,165,158,
30000,0.03,320,276,173,180,175,175,
35000,0.035,275,246,159,144,150,140,
40000,0.04,273,250,159,145,149,146,
45000,0.045,275,249,493,146,144,142,
50000,0.05,279,246,163,150,148,142,
55000,0.055,277,248,159,154,151,141,
60000,0.06,278,250,158,167,164,141,
65000,0.065,236,214,140,131,135,125,
70000,0.07,235,209,139,141,133,126,
75000,0.075,235,213,138,136,133,125,
80000,0.08,237,213,140,142,139,127,
85000,0.085,234,212,137,136,137,126,
90000,0.09,235,213,143,144,133,127,
95000,0.095,238,214,143,133,133,127,
100000,0.1,236,213,142,135,132,129,
105000,0.105,236,217,143,142,135,126,
110000,0.11,229,213,145,143,135,129,
115000,0.115,241,208,142,146,136,129,
120000,0.12,231,211,144,147,134,128,
125000,0.125,242,212,159,150,136,126,
130000,0.13,191,176,149,135,115,118,
135000,0.135,191,190,137,131,118,112,
140000,0.14,192,180,149,131,115,115,
145000,0.145,191,180,146,131,117,108,
150000,0.15,192,179,153,133,116,117,
155000,0.155,192,176,138,133,117,114,
160000,0.16,192,181,155,131,111,112,
165000,0.165,190,180,140,131,115,116,
170000,0.17,190,181,150,136,109,116,
175000,0.175,193,179,145,129,116,114,
180000,0.18,192,180,149,134,114,107,
185000,0.185,193,181,144,131,116,117,
190000,0.19,195,184,149,133,111,118,
195000,0.195,196,179,145,133,119,113,
200000,0.2,192,179,150,131,114,118,
205000,0.205,192,177,148,131,119,115,
210000,0.21,193,181,150,131,119,114,
215000,0.215,196,179,146,130,116,111,
220000,0.22,193,180,166,133,115,117,
225000,0.225,192,178,148,128,117,112,
230000,0.23,189,180,154,131,114,111,
235000,0.235,194,180,149,131,117,112,
240000,0.24,192,180,153,134,109,115,
245000,0.245,193,179,150,131,115,115,
250000,0.25,191,186,161,133,111,111,
255000,0.255,149,143,115,96,100,96,
260000,0.26,150,144,114,98,96,95,
265000,0.265,151,144,114,96,99,98,
270000,0.27,149,145,115,97,96,98,
275000,0.275,152,143,113,100,99,95,
280000,0.28,149,150,112,97,99,96,
285000,0.285,149,144,113,96,93,99,
290000,0.29,149,142,110,97,99,96,
295000,0.295,151,140,111,97,98,98,
300000,0.3,146,140,128,94,96,98,
305000,0.305,150,140,115,100,99,95,
310000,0.31,148,140,116,97,98,97,
315000,0.315,148,139,115,96,94,97,
320000,0.32,150,138,118,95,95,99,
325000,0.325,155,138,111,93,99,94,
330000,0.33,150,140,110,97,94,98,
335000,0.335,148,141,113,95,98,95,
340000,0.34,149,139,109,96,93,96,
345000,0.345,146,141,114,97,98,96,
350000,0.35,149,142,114,96,101,101,
355000,0.355,149,138,116,97,94,95,
360000,0.36,151,143,113,107,102,95,
365000,0.365,146,143,112,96,92,96,
370000,0.37,150,145,116,92,98,96,
375000,0.375,151,147,111,99,97,95,
380000,0.38,147,151,117,97,100,97,
385000,0.385,152,142,118,95,98,96,
390000,0.39,151,143,112,98,96,96,
395000,0.395,151,149,115,96,99,100,
400000,0.4,147,147,116,96,97,94,
405000,0.405,151,147,112,97,96,96,
410000,0.41,151,149,117,100,96,97,
415000,0.415,150,147,117,95,98,97,
420000,0.42,143,148,114,94,98,94,
425000,0.425,147,145,112,97,97,99,
430000,0.43,145,147,115,96,98,93,
435000,0.435,147,142,110,96,97,101,
440000,0.44,143,144,109,94,101,93,
445000,0.445,143,148,117,100,98,98,
450000,0.45,146,146,115,96,103,99,
455000,0.455,148,144,111,94,98,95,
460000,0.46,145,146,114,98,96,95,
465000,0.465,148,145,112,93,96,95,
470000,0.47,150,146,114,96,96,97,
475000,0.475,150,143,112,96,96,100,
480000,0.48,149,148,117,95,96,95,
485000,0.485,152,143,108,98,98,96,
490000,0.49,157,149,115,96,96,97,
495000,0.495,155,144,113,100,97,94,
500000,0.5,158,148,114,100,98,105,
505000,0.505,102,84,80,80,80,82,
510000,0.51,105,78,82,80,81,81,
515000,0.515,107,80,83,80,81,82,
520000,0.52,109,78,80,80,83,76,
525000,0.525,110,80,82,82,80,80,
530000,0.53,101,81,81,79,81,79,
535000,0.535,105,76,80,79,80,78,
540000,0.54,108,77,81,81,79,80,
545000,0.545,103,80,80,79,78,79,
550000,0.55,106,80,77,78,79,76,
555000,0.555,104,79,77,77,83,78,
560000,0.56,103,82,82,83,79,82,
565000,0.565,105,78,78,80,79,80,
570000,0.57,107,80,79,82,82,80,
575000,0.575,104,81,81,82,77,81,
580000,0.58,106,78,81,82,80,84,
585000,0.585,105,79,77,78,81,82,
590000,0.59,105,81,83,80,82,83,
595000,0.595,107,75,94,84,81,79,
600000,0.6,105,80,81,81,82,82,
605000,0.605,105,79,80,79,81,82,
610000,0.61,107,78,80,81,80,80,
615000,0.615,103,79,80,76,80,79,
620000,0.62,106,79,79,80,79,82,
625000,0.625,106,77,76,78,78,80,
630000,0.63,105,79,78,79,78,81,
635000,0.635,108,81,82,79,80,80,
640000,0.64,109,79,79,77,81,80,
645000,0.645,107,79,78,81,82,82,
650000,0.65,104,82,78,79,80,80,
655000,0.655,105,78,76,80,83,79,
660000,0.66,103,80,82,81,82,79,
665000,0.665,107,81,79,84,80,83,
670000,0.67,106,79,75,80,80,80,
675000,0.675,107,79,79,80,84,80,
680000,0.68,106,79,77,83,83,80,
685000,0.685,109,80,76,81,80,81,
690000,0.69,105,82,81,76,84,80,
695000,0.695,112,78,82,79,79,79,
700000,0.7,107,79,78,80,79,79,
705000,0.705,104,80,81,78,78,83,
710000,0.71,107,79,80,81,79,82,
715000,0.715,102,80,79,79,81,80,
720000,0.72,104,76,80,79,81,80,
725000,0.725,106,77,77,80,81,81,
730000,0.73,106,79,79,78,79,83,
735000,0.735,106,78,77,79,82,81,
740000,0.74,109,77,77,80,80,80,
745000,0.745,107,78,80,77,83,82,
750000,0.75,106,76,77,79,81,82,
755000,0.755,109,79,78,81,78,81,
760000,0.76,107,75,79,80,85,80,
765000,0.765,108,78,77,80,78,80,
770000,0.77,109,76,77,83,79,83,
775000,0.775,109,78,79,81,79,80,
780000,0.78,105,81,78,82,81,81,
785000,0.785,105,79,79,83,82,84,
790000,0.79,107,81,82,81,79,80,
795000,0.795,108,78,83,80,80,79,
800000,0.8,110,82,81,83,80,81,
805000,0.805,111,81,83,82,80,78,
810000,0.81,106,79,76,81,80,86,
815000,0.815,110,80,76,82,81,81,
820000,0.82,105,80,79,82,80,82,
825000,0.825,106,80,80,83,82,79,
830000,0.83,107,80,76,80,79,79,
835000,0.835,105,81,74,80,82,83,
840000,0.84,109,80,80,83,81,83,
845000,0.845,107,82,78,80,79,81,
850000,0.85,105,81,77,80,82,78,
855000,0.855,107,78,80,83,82,81,
860000,0.86,107,78,81,81,80,80,
865000,0.865,106,79,79,81,83,79,
870000,0.87,131,78,77,81,80,80,
875000,0.875,582,78,79,85,80,84,
880000,0.88,698,76,78,77,82,83,
885000,0.885,371,77,77,81,81,79,
890000,0.89,177,78,82,86,78,224,
895000,0.895,199,80,78,78,76,456,

